feature,n_valid,mean_benign,mean_malignant,median_benign,median_malignant,shapiro_p_benign,shapiro_p_malignant,normal_in_both_classes,correlation_method,correlation_coefficient,correlation_p_value,class_difference_test,class_difference_stat,class_difference_p_value,cohen_d_malignant_minus_benign,correlation_q_value_fdr,class_difference_q_value_fdr
GLSZM_GreyLevelNonUniformity,116,18.779111225076925,16.192426961,4.962237762,5.1376899285,1.654368279953912e-15,7.360539638080675e-15,False,Spearman,0.10094680066753962,0.2809387457565505,Mann_Whitney_U,1469.0,0.2802499105795552,-0.04334899075575517,0.37372585444678735,0.36942033667305
Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,116,0.5881554292307692,0.5508802244843749,0.6120712614999999,0.572404629,0.12690399416920087,0.07440229130295363,True,Pearson_point_biserial_equivalent,-0.09972083244923065,0.2868522874443896,Welch_t_test,1.0899643744181309,0.2780296158699034,-0.19977715785019987,0.37812346981305905,0.36942033667305
Morph_SurfaceArea_cm2,116,9.123509628153844,8.260892139859376,3.348027033,3.2746846969999996,4.043482346058863e-15,5.974966301421145e-14,False,Spearman,0.09784055720095508,0.2960819645730863,Mann_Whitney_U,1475.0,0.295354535203495,-0.03683458298378247,0.38677373750538296,0.38582349193249343
IB_IntensityBasedQuartileCoefficientOfDispersion,116,0.30911711530769226,0.305186680171875,0.2340312195,0.28620559850000005,2.439275508963363e-05,0.04778507371846243,False,Spearman,0.09473450776600413,0.3117536238924923,Mann_Whitney_U,1481.0,0.31099391854009806,-0.02354771742462834,0.4036096023608159,0.40262605525280554
GLSZM_NormalisedZoneSizeNonUniformity,116,0.2695326981923077,0.279228456765625,0.253495843,0.2648542465,0.014767551219393767,0.31136766469453664,False,Spearman,0.09318148304852863,0.3197881671358623,Mann_Whitney_U,1484.0,0.3190148630266799,0.14262658901913583,0.41034764809469054,0.40935535521122646
GLCM_NormalisedInverseDifference,116,0.8957765285384617,0.890343803703125,0.8947033904999999,0.8960191665,0.6192455377521118,0.17903579850386886,True,Pearson_point_biserial_equivalent,-0.08369566236571274,0.3717306773497383,Welch_t_test,0.8817295310697316,0.3800296770848196,-0.16742456276498136,0.47281533522554436,0.48337108050262145
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,116,0.42294453848076924,0.44702187104687496,0.2828225815,0.373906826,1.362591815993081e-06,1.8328076053044855e-07,False,Spearman,0.0740276538228624,0.42967252780298437,Mann_Whitney_U,1521.0,0.4288958982136011,0.06561584553752242,0.5417610133168064,0.5407817847041058
IH_IntensityHistogramCoefficientOfVariation_Intensity,116,0.4243542528653847,0.424839084484375,0.369507311,0.4004220375,4.780033058609839e-05,4.0377110183083816e-08,False,Spearman,0.0709214620980468,0.4493323039414815,Mann_Whitney_U,1527.0,0.448587350680282,0.002436176280142375,0.5616653799268518,0.5607341883503525
IB_MinimumIntensity,116,24.41857630011538,16.05132345184375,0.0,0.0,9.725543299763346e-11,2.0355411186081793e-11,False,Spearman,-0.07028927679816534,0.4533943084154006,Mann_Whitney_U,1786.0,0.45284568159329774,-0.21914271570646174,0.5618989292327615,0.5612190071028049
Morph_ApproximateVolume_cm3,116,3.9562499999999994,1.8500468749999999,0.3875,0.365,1.0248078929199284e-15,6.1423974763055934e-15,False,Spearman,0.06781645547979354,0.469477869905072,Mann_Whitney_U,1533.0,0.4687743545220979,-0.13854419230851928,0.5672857594686287,0.5664356783808683
Morph_voxelsCounting_vx,116,3956.25,1850.046875,387.5,365.0,1.0248078929199284e-15,6.1423974763055934e-15,False,Spearman,0.06781645547979354,0.469477869905072,Mann_Whitney_U,1533.0,0.4687743545220979,-0.1385441923085193,0.5672857594686287,0.5664356783808683
