feature,variance,log10_variance
T2_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,0.6265442347017,-0.203048261925824
Post2_IB_IntensitySkewness,0.6754143044752375,-0.17042974575966735
Post2_IH_IntensityHistogramSkewness_Intensity,0.6811716359211996,-0.16674344441310449
Pre_IH_IntensityHistogramEntropyLog2_Intensity,0.6866917278592799,-0.1632381842444614
Pre_IH_IntensityHistogramSkewness_Intensity,0.7012962264764502,-0.1540984979391325
T2_GLRLM_RunEntropy,0.7022653745878852,-0.15349874407935907
Post1_IH_IntensityHistogramSkewness_Intensity,0.7083705944655537,-0.14973947532777623
Post1_IB_IntensitySkewness,0.7117193403162909,-0.1476912324603392
Pre_IB_IntensitySkewness,0.7188111416295263,-0.143385199911483
Post1_IH_IntensityHistogramEntropyLog2_Intensity,0.8128659690924754,-0.08998105795056156
Post2_IH_IntensityHistogramEntropyLog2_Intensity,0.8345139712650707,-0.07856638805247834
Pre_GLSZM_ZoneSizeEntropy,0.8466927626437559,-0.07227415247220934
Post2_GLSZM_ZoneSizeEntropy,0.8577570095679893,-0.0666357242135624
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,0.8898877041245995,-0.050664793979356165
T2_IB_IntensitySkewness,0.8996686554240998,-0.045917410134403265
Post2_GLRLM_LongRunLowGreyLevelEmphasis,0.9955132732957274,-0.0019529450980526424
Post1_GLSZM_ZoneSizeEntropy,1.037764377618184,0.016098758988567184
Post1_GLRLM_LongRunLowGreyLevelEmphasis,1.0605649816647444,0.02553728323850517
T2_IH_IntensityHistogramSkewness_Intensity,1.1510393976558586,0.06109018887058024
T2_IH_IntensityHistogramEntropyLog2_Intensity,1.311106755699066,0.11763805517128144
T2_GLRLM_RunLengthVariance,1.3401073606760856,0.12713959260502408
Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,1.3903630728613603,0.14312822467919067
Post2_GLRLM_LongRunsEmphasis,1.4150118067796227,0.15076006360467736
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,1.4741082294300156,0.16852937071375487
Post1_GLRLM_LongRunsEmphasis,1.49378654073979,0.17428854205655797
Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,1.6841815232428419,0.2263888985024318
T2_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,1.9523378348061105,0.29055497065521657
T2_GLCM_Dissimilarity,2.162574725863856,0.33497112305942434
T2_GLCM_DifferenceAverage,2.162574725863856,0.33497112305942434
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,2.330237240361328,0.36740013859479015
Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,2.3488228456713847,0.3708502623935039
Pre_GLCM_JointEntropyLog2,2.3949224312261626,0.3792914516814555
T2_GLSZM_ZoneSizeEntropy,2.4801458787796564,0.39447722618356357
Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,2.6608870504138293,0.4250264399694011
Post1_IH_IntensityHistogramMinimumGreyLevel_Intensity,2.665279429250891,0.4257427474040613
Post2_IH_IntensityHistogramMinimumGreyLevel_Intensity,2.932520808561234,0.4672411024624832
Post2_GLCM_JointEntropyLog2,2.9501323674502764,0.46984150247443207
