Feature_1,Feature_2,Abs_Spearman_Correlation,Above_0_95,Above_0_99
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.9811791549039122,True,False
GLRLM_LongRunsEmphasis,GLSZM_ZonePercentage,0.9809733792172408,True,False
IB_50thIntensityPercentile,GLCM_Autocorrelation,0.9809319534398353,True,False
IB_MedianIntensity,GLCM_Autocorrelation,0.9809319534398353,True,False
IB_IntensityBasedMeanAbsoluteDeviation,GLCM_SumVariance,0.9808179352305594,True,False
IB_IntensityBasedMeanAbsoluteDeviation,GLCM_ClusterTendency,0.9808179352305594,True,False
GLRLM_RunPercentage,GLSZM_ZonePercentage,0.9807167075660791,True,False
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.9806059311949209,True,False
IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,GLCM_ClusterTendency,0.9804282995399302,True,False
IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,GLCM_SumVariance,0.9804282995399302,True,False
IB_75thIntensityPercentile,GLCM_Autocorrelation,0.9803719550392486,True,False
IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,GLCM_Contrast,0.9801585517541099,True,False
GLCM_JointEntropyLog10,GLCM_SumEntropy,0.9801285797779077,True,False
GLCM_JointEntropyLog2,GLCM_SumEntropy,0.9801285797779077,True,False
GLCM_JointVariance,GLCM_ClusterProminence,0.9797389440872784,True,False
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.9797160851644973,True,False
IH_IntensityHistogramStd_Intensity,GLCM_Contrast,0.9796640141467727,True,False
IH_IntensityHistogramVariance_Intensity,GLCM_Contrast,0.9796640141467727,True,False
