Model,Threshold,Net_Benefit
SVM_RBF,0.86,0.04135338345864663
SVM_RBF,0.87,0.09649122807017543
SVM_RBF,0.88,0.07017543859649122
SVM_RBF,0.89,0.06140350877192982
SVM_RBF,0.9,0.043859649122807015
SVM_RBF,0.91,0.02631578947368421
SVM_RBF,0.92,0.02631578947368421
SVM_RBF,0.93,0.02631578947368421
SVM_RBF,0.9400000000000001,0.008771929824561403
SVM_RBF,0.9500000000000001,0.0
SVM_RBF,0.9600000000000001,0.0
SVM_RBF,0.97,0.0
SVM_RBF,0.98,0.0
SVM_RBF,0.99,0.0
SVM_Linear,0.01,0.5569732411837675
SVM_Linear,0.02,0.5526315789473684
SVM_Linear,0.03,0.5483812624344365
SVM_Linear,0.04,0.5438596491228069
SVM_Linear,0.05,0.5392428439519852
SVM_Linear,0.060000000000000005,0.5345278088839118
SVM_Linear,0.06999999999999999,0.5297113752122241
SVM_Linear,0.08,0.5072463768115942
SVM_Linear,0.09,0.5030846346635821
SVM_Linear,0.09999999999999999,0.49805068226120863
SVM_Linear,0.11,0.49290360733293914
SVM_Linear,0.12,0.48883572567783096
SVM_Linear,0.13,0.4761040532365396
SVM_Linear,0.14,0.470828233374133
SVM_Linear,0.15000000000000002,0.4654282765737874
SVM_Linear,0.16,0.4598997493734336
SVM_Linear,0.17,0.45423800465017966
SVM_Linear,0.18000000000000002,0.45036371416345744
SVM_Linear,0.19,0.4466103530431016
SVM_Linear,0.2,0.4407894736842105
SVM_Linear,0.21000000000000002,0.4260493004663557
SVM_Linear,0.22,0.41992802519118305
SVM_Linear,0.23,0.40487582592845756
SVM_Linear,0.24000000000000002,0.3924284395198523
SVM_Linear,0.25,0.3859649122807018
SVM_Linear,0.26,0.37055476529160736
SVM_Linear,0.27,0.35496274933910116
SVM_Linear,0.28,0.35136452241715393
SVM_Linear,0.29000000000000004,0.34432913269088206
SVM_Linear,0.3,0.3370927318295739
SVM_Linear,0.31,0.3375286041189931
SVM_Linear,0.32,0.32146542827657376
SVM_Linear,0.33,0.3182770358732652
SVM_Linear,0.34,0.315257841573631
SVM_Linear,0.35000000000000003,0.31713900134952766
SVM_Linear,0.36000000000000004,0.3097587719298245
SVM_Linear,0.37,0.30214424951267055
SVM_Linear,0.38,0.299660441426146
SVM_Linear,0.39,0.30299108426804716
SVM_Linear,0.4,0.2865497076023391
SVM_Linear,0.41000000000000003,0.26984834968777877
SVM_Linear,0.42000000000000004,0.2592256503327283
SVM_Linear,0.43,0.25761772853185594
SVM_Linear,0.44,0.26817042606516295
SVM_Linear,0.45,0.25917065390749605
SVM_Linear,0.46,0.25048732943469787
SVM_Linear,0.47000000000000003,0.24313141343925854
SVM_Linear,0.48000000000000004,0.25978407557354927
SVM_Linear,0.49,0.2693498452012384
SVM_Linear,0.5,0.2631578947368421
SVM_Linear,0.51,0.2841031149301826
SVM_Linear,0.52,0.25219298245614036
SVM_Linear,0.53,0.2474804031354983
SVM_Linear,0.54,0.2536231884057971
SVM_Linear,0.55,0.2504873294346978
SVM_Linear,0.56,0.2368421052631579
SVM_Linear,0.5700000000000001,0.23174214606283147
SVM_Linear,0.5800000000000001,0.21762740183792811
SVM_Linear,0.59,0.20710312366281558
SVM_Linear,0.6,0.2149122807017544
SVM_Linear,0.61,0.2098515519568151
SVM_Linear,0.62,0.20452446906740535
SVM_Linear,0.63,0.19013750592697964
SVM_Linear,0.64,0.16666666666666669
